index,hit_symbol,hit_id,input_id,input_symbol,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,protein_interaction,protein_interaction_rank
0,AP5S1,HGNC:15875,"['HGNC:3583', 'HGNC:3587']","['FANCB', 'FANCF']",2.0,"[106.0, 106.0]",,"[nan, nan]",,
1,AP5Z1,HGNC:22197,"['HGNC:3587', 'HGNC:3583']","['FANCF', 'FANCB']",2.0,"[106.0, 106.0]",,"[nan, nan]",,
2,ASTE1,HGNC:25021,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[28.0, 13.0, 13.0]",,"[nan, nan, nan]",,
3,ATR,HGNC:882,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
4,ATRIP,HGNC:33499,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:25009', 'HGNC:3436', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['XRCC2', 'BRIP1', 'FANCL', 'UBE2T', 'ERCC4', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
5,B3GLCT,HGNC:20207,"['HGNC:12829', 'HGNC:3587', 'HGNC:9817', 'HGNC:20748', 'HGNC:25568', 'HGNC:3583']","['XRCC2', 'FANCF', 'RAD51', 'FANCL', 'FANCI', 'FANCB']",,"[nan, nan, nan, nan, nan, nan]",6.0,"[593.0, 614.0, 577.0, 558.0, 499.0, 535.0]",,
6,BARD1,HGNC:952,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:26144', 'HGNC:3582', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']","['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'SLX4', 'PALB2', 'FANCA', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
7,BLM,HGNC:1058,"['HGNC:1100', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:7532', 'HGNC:9817']","['BRCA1', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'MX1', 'RAD51']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",17.0,5.0
8,BOD1L1,HGNC:31792,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[78.0, 95.0, 95.0]",,"[nan, nan, nan]",,
9,BRCA1,HGNC:1100,"['HGNC:1101', 'HGNC:3584', 'HGNC:3586', 'HGNC:3585', 'HGNC:9820', 'HGNC:3588', 'HGNC:20748', 'HGNC:12829', 'HGNC:23168', 'HGNC:23845', 'HGNC:26144', 'HGNC:3582', 'HGNC:25539', 'HGNC:3583', 'HGNC:25568', 'HGNC:6764', 'HGNC:9817', 'HGNC:25009', 'HGNC:3587', 'HGNC:20473', 'HGNC:3436']","['BRCA2', 'FANCC', 'FANCE', 'FANCD2', 'RAD51C', 'FANCG', 'FANCL', 'XRCC2', 'FANCM', 'SLX4', 'PALB2', 'FANCA', 'RFWD3', 'FANCB', 'FANCI', 'MAD2L2', 'RAD51', 'UBE2T', 'FANCF', 'BRIP1', 'ERCC4']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[405.0, 235.0, 235.0, 235.0, 369.0, 383.0, 407.0, 409.0, 411.0, 381.0, 403.0, 235.0, 415.0, 417.0, 419.0, 395.0, 397.0, 377.0, 399.0, 355.0, 459.0]",18.0,4.0
